study,cancer_type,protein,transcript,expression
GTEX,GTEX Adrenal Gland,Isoform 1,ENST00000269571,"{""label"": ""ENST00000269571"", ""med"": -0.6083000000000001, ""q1"": -1.53125, ""q3"": 0.328825, ""whislo"": -3.816, ""whishi"": 1.701, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Adrenal Gland,Isoform 2,ENST00000445658,"{""label"": ""ENST00000445658"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -4.17375, ""whislo"": -9.966, ""whishi"": -1.149, ""fliers"": [], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Adrenal Gland,Isoform 3,ENST00000578199,"{""label"": ""ENST00000578199"", ""med"": -5.574, ""q1"": -9.966, ""q3"": -3.047, ""whislo"": -9.966, ""whishi"": -0.4131, ""fliers"": [], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Adrenal Gland,Isoform 3,ENST00000584014,"{""label"": ""ENST00000584014"", ""med"": -2.3905000000000003, ""q1"": -3.458, ""q3"": -1.6735, ""whislo"": -5.012, ""whishi"": -0.3566, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Adrenal Gland,Isoform 4,ENST00000578502,"{""label"": ""ENST00000578502"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.388, -1.685, -2.727, -2.932, -2.178, -1.994, -2.114, -2.826, -1.831, -1.392, -2.388, -1.994, -2.315, -3.308, -2.466, -2.826, -2.932, -2.466, -3.308, -2.245], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Adrenal Gland,Isoform 5,ENST00000578709,"{""label"": ""ENST00000578709"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.635, -2.826], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Adrenal Gland,Isoform 6,ENST00000580074,"{""label"": ""ENST00000580074"", ""med"": -4.6525, ""q1"": -9.966, ""q3"": -1.22325, ""whislo"": -9.966, ""whishi"": 0.7579, ""fliers"": [], ""color"": [1.0, 0.8509803921568627, 0.1843137254901961]}"
GTEX,GTEX Adrenal Gland,Isoform 7,ENST00000582818,"{""label"": ""ENST00000582818"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-1.938, -3.171, -4.293, -0.8599, -1.026, -1.283, -1.283, -0.2159, -2.826, -1.056, -4.608, -2.315, -1.056, -2.053, -1.47, -1.318, -0.2671, -3.626], ""color"": [0.8980392156862745, 0.7686274509803922, 0.5803921568627451]}"
GTEX,GTEX Adrenal Gland,Isoform 8,ENST00000584450,"{""label"": ""ENST00000584450"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.816, -4.293, -4.035, -6.506, -3.047, -5.574, -3.816, -2.548, -4.035, -3.626, -5.012, -5.574, -5.012, -3.816, -5.012, -3.816, -4.035, -6.506, -3.458, -4.293, -3.626, -4.035, -4.035, -6.506, -4.293, -4.293, -4.293, -4.608, -5.574, -2.826, -6.506], ""color"": [0.7019607843137254, 0.7019607843137254, 0.7019607843137254]}"
GTEX,GTEX Adrenal Gland,Isoform 9,ENST00000584601,"{""label"": ""ENST00000584601"", ""med"": -2.5915, ""q1"": -4.035, ""q3"": -1.831, ""whislo"": -5.574, ""whishi"": -0.3383, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Bladder,Isoform 1,ENST00000269571,"{""label"": ""ENST00000269571"", ""med"": 4.751, ""q1"": 3.151, ""q3"": 5.052, ""whislo"": 2.625, ""whishi"": 5.54, ""fliers"": [], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Bladder,Isoform 2,ENST00000445658,"{""label"": ""ENST00000445658"", ""med"": -0.4921, ""q1"": -1.086, ""q3"": 0.058, ""whislo"": -1.994, ""whishi"": 0.1519, ""fliers"": [1.84, -4.608], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Bladder,Isoform 3,ENST00000578199,"{""label"": ""ENST00000578199"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -2.727, ""whislo"": -9.966, ""whishi"": -1.51, ""fliers"": [], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Bladder,Isoform 3,ENST00000584014,"{""label"": ""ENST00000584014"", ""med"": -1.938, ""q1"": -2.114, ""q3"": -0.9132, ""whislo"": -3.458, ""whishi"": -0.7108, ""fliers"": [0.9419], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Bladder,Isoform 4,ENST00000578502,"{""label"": ""ENST00000578502"", ""med"": -1.685, ""q1"": -9.966, ""q3"": 0.2277, ""whislo"": -9.966, ""whishi"": 0.3573, ""fliers"": [], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Bladder,Isoform 5,ENST00000578709,"{""label"": ""ENST00000578709"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-1.639], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Bladder,Isoform 6,ENST00000580074,"{""label"": ""ENST00000580074"", ""med"": 0.8082, ""q1"": -0.1187, ""q3"": 0.9862, ""whislo"": -0.1993, ""whishi"": 1.532, ""fliers"": [-9.966], ""color"": [1.0, 0.8509803921568627, 0.1843137254901961]}"
GTEX,GTEX Bladder,Isoform 7,ENST00000582818,"{""label"": ""ENST00000582818"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [0.5069, -0.4719], ""color"": [0.8980392156862745, 0.7686274509803922, 0.5803921568627451]}"
GTEX,GTEX Bladder,Isoform 8,ENST00000584450,"{""label"": ""ENST00000584450"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -2.932, ""whislo"": -9.966, ""whishi"": -1.732, ""fliers"": [], ""color"": [0.7019607843137254, 0.7019607843137254, 0.7019607843137254]}"
GTEX,GTEX Bladder,Isoform 9,ENST00000584601,"{""label"": ""ENST00000584601"", ""med"": -2.053, ""q1"": -2.245, ""q3"": -1.214, ""whislo"": -3.171, ""whishi"": -0.6873, ""fliers"": [-4.608], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Blood,Isoform 1,ENST00000269571,"{""label"": ""ENST00000269571"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-4.035, -2.635, -2.315, -3.171, -3.047, -3.047, -2.932, -1.47, -3.308, -3.308, -4.608, -4.293, 1.057, -2.315, -2.466, -4.608, -4.035, -3.047, -1.318, -2.466, -3.171, -3.816, -3.308, -1.355, -2.932, -2.245, -2.315, -3.047, -3.308, -4.608, -3.816, -3.308, -2.315, -4.608, -3.458, -2.932, -2.932, -3.047, -3.171, -3.816, -3.308, -3.816, -2.727, -0.3022, -3.047, -0.8339, -4.035, -3.047, -1.51, -1.026, -1.732, -3.308, -6.506, -4.608, -6.506, -3.816, -3.047, -2.245, -4.035, -2.466], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Blood,Isoform 2,ENST00000445658,"{""label"": ""ENST00000445658"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.816, -4.608, -4.608, -4.293, -3.816, -2.635, -2.245, -6.506, -4.035, -3.171, -6.506, -6.506, -5.574, -4.608, -6.506, -4.608, -6.506, -6.506, -5.574, -5.012, -3.047, -1.685, -4.608, -4.035, 0.1903, -6.506, -3.171, -6.506, -4.293, -5.012, -3.816, -4.608, -4.035, -3.816, -4.608, -1.47, -4.035, -5.012, -3.171, -4.608, -5.012, -4.608, -2.727, -3.458, -6.506, -6.506, -3.816, -2.727, -4.035, -4.293, -5.574, -1.283, -6.506, -6.506, -4.608], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Blood,Isoform 3,ENST00000578199,"{""label"": ""ENST00000578199"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-1.214, -0.4921, -2.245, -3.047, -2.388, -4.608, -1.938, -3.171, -1.994, -0.8339, -1.431, -1.47, -0.7588, -2.826, -0.2845, -2.315, -0.7588, -1.831, -2.053, -5.012, -5.574, -3.308, -3.308, -0.6643, -5.012, -1.781, -3.816, -0.7108, -1.51, -1.214, -2.388, -2.053, -0.5543, -2.826, -5.574, -1.552, -2.315, -1.392, -1.47, -1.181, -3.308, -2.114, -2.315, -5.574, -1.781, -1.938, -3.047, -4.293, -5.012, -4.293, -1.149, -1.248, -6.506, -3.626, -1.938, -3.047, -2.826, -3.626, -3.816, -4.608, -2.548, -5.012, -2.114, -5.574, -2.466, -1.994, -1.431, -0.6193, -3.626, -4.035, -2.114, -1.938, -4.293, -1.639, -6.506, -5.574, -0.9971, -1.781, -3.816, -6.506, -1.392, -2.178, -1.639, -3.047, -6.506, 0.03, -4.293, -1.781, -5.574, -2.548, -4.293, -3.626, -2.727, -0.6643, -1.994, -1.781, -0.8599, -1.47, -6.506, -1.831, -4.035, -4.035, -1.831, -5.012], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Blood,Isoform 3,ENST00000584014,"{""label"": ""ENST00000584014"", ""med"": -4.4505, ""q1"": -9.966, ""q3"": -1.72025, ""whislo"": -9.966, ""whishi"": 1.015, ""fliers"": [], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Blood,Isoform 4,ENST00000578502,"{""label"": ""ENST00000578502"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-1.938, -4.293, -3.047, -2.548, -1.781, -1.026, -5.012, -4.293, -1.994, -2.178, -2.548, -2.245, -2.114, -2.388, -3.308, -3.047, -2.826, -1.595, -3.626, -3.458, -3.171, -0.8863, -2.826, -1.117, -3.047, -5.574, -2.826, -2.932, -1.056, -2.466, -2.388, -2.178, -1.595, -2.932, -2.727, -3.626, -2.932, -4.608, -1.595, -4.293, -2.727, -2.932, -2.548, -1.51, -2.466, -1.355], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Blood,Isoform 5,ENST00000578709,"{""label"": ""ENST00000578709"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-3.047, -3.458, -3.816, -3.626], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Blood,Isoform 6,ENST00000580074,"{""label"": ""ENST00000580074"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -2.548, ""whislo"": -9.966, ""whishi"": 1.118, ""fliers"": [], ""color"": [1.0, 0.8509803921568627, 0.1843137254901961]}"
GTEX,GTEX Blood,Isoform 7,ENST00000582818,"{""label"": ""ENST00000582818"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -6.506, ""whislo"": -9.966, ""whishi"": -1.318, ""fliers"": [-0.5332, 0.9343, -0.5125, -0.6193, 0.9716, -0.2328, 0.6608, -0.394, -0.8599, -0.0425, -0.8339, -0.8863, -0.8599, -0.5332, -1.117, -0.4521, -1.248, -0.8599, 0.6517, 0.2277, -0.9406, -0.5756], ""color"": [0.8980392156862745, 0.7686274509803922, 0.5803921568627451]}"
GTEX,GTEX Blood,Isoform 8,ENST00000584450,"{""label"": ""ENST00000584450"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-4.608, -6.506, -5.574, -4.608, -5.012, -5.012, -5.574, -5.012, -5.012, -3.171, -5.574, -5.574, -6.506, -5.012, -3.626, -3.626, -5.574, -4.293, -5.012, -6.506, -6.506, -5.012, -6.506, -4.608, -4.293, -4.608, -5.574, -5.574, -3.171, -4.035, -4.293, -3.458, -5.574, -5.574, -5.012, -5.012, -3.308, -5.574, -4.608, -4.608, -3.816, -6.506, -4.608, -6.506, -4.608, -6.506, -6.506, -5.574, -2.178, -5.574, -5.012, -4.608, -5.012, -4.608, -5.574, -4.293], ""color"": [0.7019607843137254, 0.7019607843137254, 0.7019607843137254]}"
GTEX,GTEX Blood,Isoform 9,ENST00000584601,"{""label"": ""ENST00000584601"", ""med"": -5.574, ""q1"": -9.966, ""q3"": -2.727, ""whislo"": -9.966, ""whishi"": 0.3573, ""fliers"": [], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Blood Vessel,Isoform 1,ENST00000269571,"{""label"": ""ENST00000269571"", ""med"": 3.8804999999999996, ""q1"": 3.3185000000000002, ""q3"": 4.34, ""whislo"": 1.884, ""whishi"": 5.652, ""fliers"": [0.9568, 0.099, 1.723, 0.099, 1.299, 0.8647, 1.506, 1.299, -9.966, 1.674, -9.966, 0.7664], ""color"": [0.4, 0.7607843137254902, 0.6470588235294118]}"
GTEX,GTEX Blood Vessel,Isoform 2,ENST00000445658,"{""label"": ""ENST00000445658"", ""med"": -0.7711, ""q1"": -2.178, ""q3"": 0.099, ""whislo"": -5.574, ""whishi"": 1.967, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.9882352941176471, 0.5529411764705883, 0.3843137254901961]}"
GTEX,GTEX Blood Vessel,Isoform 3,ENST00000578199,"{""label"": ""ENST00000578199"", ""med"": -2.053, ""q1"": -3.047, ""q3"": -1.431, ""whislo"": -5.012, ""whishi"": -0.1187, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -6.506, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -5.574, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -6.506, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Blood Vessel,Isoform 3,ENST00000584014,"{""label"": ""ENST00000584014"", ""med"": -2.826, ""q1"": -9.966, ""q3"": -1.994, ""whislo"": -9.966, ""whishi"": 0.0158, ""fliers"": [], ""color"": [0.5529411764705883, 0.6274509803921569, 0.796078431372549]}"
GTEX,GTEX Blood Vessel,Isoform 4,ENST00000578502,"{""label"": ""ENST00000578502"", ""med"": -1.086, ""q1"": -2.36975, ""q3"": -0.1993, ""whislo"": -2.932, ""whishi"": 1.727, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966], ""color"": [0.9058823529411765, 0.5411764705882353, 0.7647058823529411]}"
GTEX,GTEX Blood Vessel,Isoform 5,ENST00000578709,"{""label"": ""ENST00000578709"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-2.826, -2.388, -2.388, -2.466, -1.884, -2.245, -3.308, -2.635, -2.548, -2.245, -2.114, -2.727, -2.826, -2.114, -2.388, -3.047, -2.635, -2.727, -2.245, -2.245, -2.548, -3.171], ""color"": [0.6509803921568628, 0.8470588235294118, 0.32941176470588235]}"
GTEX,GTEX Blood Vessel,Isoform 6,ENST00000580074,"{""label"": ""ENST00000580074"", ""med"": 1.4575, ""q1"": 0.494125, ""q3"": 2.154, ""whislo"": -1.685, ""whishi"": 3.78, ""fliers"": [-9.966, -9.966, -9.966, -9.966, -9.966, -2.053, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -2.466, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -9.966, -2.114, -9.966, -9.966, -9.966], ""color"": [1.0, 0.8509803921568627, 0.1843137254901961]}"
GTEX,GTEX Blood Vessel,Isoform 7,ENST00000582818,"{""label"": ""ENST00000582818"", ""med"": -9.966, ""q1"": -9.966, ""q3"": -9.966, ""whislo"": -9.966, ""whishi"": -9.966, ""fliers"": [-1.884, 1.628, -0.4921, -0.3383, 1.151, 0.4865, -0.4719, 0.1648, 0.8805, -1.552, -0.013, 0.3231, 0.0718, 0.2522, 0.5859, -0.3566, 0.4125, -0.3201, -0.1031, 0.6239, -0.6193, -0.3566, 0.24, -0.8599, -0.2328, 0.7999, 0.5763, 1.334, 0.1776, -3.171, 1.245, -0.9686, -0.2671, -0.9686, -0.9132, -0.1993, -0.7346, -0.2845, -0.6416, 1.6, 1.481, 0.1257, -0.8339, 1.022, 0.0158, 0.0854, 0.0158, -0.3022, 1.501, -0.9971, -0.4521, -0.0277, 0.1648, -0.9686, 0.1776, 0.2762, -0.4521, -1.181, 1.449, -1.056, -0.5125, 0.1519, 0.3685, 0.7146, 1.245, -0.0277, 0.5859, 0.4967, -0.5973, -0.3752, -0.3022, -0.4921, -1.149, 0.2522, 0.7233, 0.9935, -2.548, -1.117, -0.0877, -0.1993, -0.5973, 0.8408, -0.1031, -1.214, 0.0854, -0.4521, 0.0854, -0.7588, 0.7233, -0.3566, -4.293, -1.248, 0.2762, -1.431, 1.171, -0.0277, -0.2845, -0.4325, -0.7108, -0.9132, -0.5756, 0.7999, -0.4325, 0.434, -1.552, -0.3201, -0.6873, -0.2498, 0.4233, 0.547, -1.181, 0.1648, -0.4921, -0.3752, 0.044, -0.6643, -1.026, 0.4865, 2.39], ""color"": [0.8980392156862745, 0.7686274509803922, 0.5803921568627451]}"
